"Afrocarpus_falcatus","Alangium_chinense","Albizia_gummifera","Allophylus_kiwuensis","Antidesma_spp","Apodytes_dimidiata","Balthasaria_schliebenii","Beilschmiedia_rwandensis","Bersama_abyssinica","Bridelia_brideliifolia","Carapa_grandiflora","Casearia_barteri","Cassipourea_ruwenzorensis","Chrysophyllum_gorungosanum","Chrysophyllum_rwandense","Cleistanthus_polystachyus","Croton_macrostachyus","Croton_megalocarpus","Dichaetanthera_corymbosa","Dombeya_torrida","Drypetes_gerrardii","Drypetes_occidentalis","Ekebergia_capensis","Entandrophragma_excelsum","Ficalhoa_laurifolia","Ficus_oreodryadum","Ficus_sur","Garcinia_volkensii","Grewia_mildbraedii","Harungana_montana","Heinsenia_diervilleoides","Ilex_mitis","Ixora_burundensis","Kuloa_usambarensis","Macaranga_kilimandscharica","Maesa_lanceolata","Magnistipula_butayei","Maytenus_acuminata","Millettia_dura","Musanga_leo-errerae","Myrianthus_holstii","Neoboutonia_macrocalyx","Newtonia_buchananii","Noronhia_africana","Ochna_afzelii","Ocotea_kenyensis","Olea_capensis","Olinia_rochetiana","Parinari_excelsa","Pentadesma_reyndersii","Podocarpus_latifolius","Polyscias_fulva","Prunus_africana","Psychotria_capensis_var_puberula","Psydrax_subcordata","Rapanea_melanophloeos","Rytigynia_kigeziensis","Sapium_ellipticum","Strombosia_scheffleri","Symphonia_globulifera","Syzygium_guineense","Tabernaemontana_stapfiana","Vepris_stolzii","Warneckea_walikalensis","Xymalos_monospora","Zanthoxylum_gillettii"
"53",0,0.26,0.2415,3.825,9.36,0,32.795,0,14.918,0,0.3775,0.1435,0.109,0,0.2525,13.5,71.015,52.85,0,53.807,0,0,71.7105,28.875,53.799,0,0,0,0.3415,0,0,0.445,0,0,42.05,33.5,0,0,0,0,0.2135,0,0,0,0,0,0.254,0.1685,59.6175,26.709,0.801,0,8.095,0.271,0,13.4725,0,0,63.575,0.674,0,13.745,0,64.684,0,0
"54",0.575,18.675,0,0,0.165,0.182,22.774,0,14.7545,0.3,0,7.325,22.65,0,0.867,0,82.14,41.35,0,111.2695,0,0,52.528,0.81,13.175,7.75,0,0,0,0.334,0,49.895,8.241,0,30.35,32,0,0.06,0,43.55,0.9925,0,0,0,0,0,60.6,0,19.599,11.8035,37.503,0,19.52,0.1925,0,0,0.135,0,127.9515,42.737,0,6.46,0,46.813,0,0
"55",0.23,37,0.3225,0,0.105,0.182,36.747,0,0.613,0,1.0125,0.1435,0.787,0,0.4185,0,87.065,28.405,0,111.2515,0,0,33.398,0.7225,0.4125,7.75,0,0,0,11.773,0,51.8955,0,0,21.7325,44.622,0,0.046,0,0,0.779,0,1.3,0,0,0,0,0,30.853,0,10.6175,0,38.499,25.3175,0.274,0,0,0,76.201,16.911,0.6665,7.7225,0,13.6165,0,0
"56",0,0,0.1675,0,0,0,1.4575,0,0.063,0.12,29.887,0.1435,0,0.4475,0.2525,0,101.4,41.35,0,184.1625,0,0,29.825,36.125,13.376,0,0,0,0,33.676,0,1.171,0,0,24.9,10.153,0,0,0,43.55,0.2135,0,0,0,0,0,0.254,0,0.584,0.195,19.575,0,0.344,23.1305,0,0.075,0,0,0.99,2.121,0,5.8725,0,0.539,0,0
"57",0,0,0.44,0,0,0,16.881,0,0.063,0,1.0735,0.1435,0,0,0.2695,0,35.6325,20.905,0,138.975,0,0,0.587,89.221,27.499,0,0,0,0,0,0,0.7795,0,0,15.59,0.428,0,0,0,43.55,0,0,102,0,0,0,0,0,0.193,9.75,0.348,0,20.375,0.7975,0.274,0,0,0,1.842,1.1075,0.295,6.0925,0,0,0,0
"58",0.345,0,78.4415,0,0,0,1.943,0,23,0,1.083,0.1435,0,0,0,0,35.325,0.15,0.284,157,0,0,1.062,29.142,0.2825,0,0,0,0,0,0,0.298,0,0,0,0,0,0,0,0.238,0,0,33,0,0,0,0,0.1685,0.6135,0.6425,0,0,20.464,34.466,0,0,0,0,0.875,0.5035,0.5205,5.85,0,0,0,0
"59",0,0,22,0,0.11,0,1.1405,0,38.488,0,21.5825,0.1435,0,0,0,0,0,0,0,98.84,0,0,1.029,0.85,0,0.155,0,0,0.1975,0,0,0,0,0,0,0,0,0,0,0,24.6,0,66,0,0,0,0,0.1975,0.9255,9.9,0,0,0.7955,1.3995,0,0,0,0,38.445,14.95,0.9835,0.115,0,0,0,0
"60",0,0,0,0,0,0.2,18.507,0,23,0,0.806,0.15,0,0.342,0,0,0,0,0,31.2785,0,0,4.1455,0,67.915,0.155,0,0,0,0,0,0.298,0,0,0.154,0,0,0,0,10.75,0,0,0,0,0,0,0,0.821,0,24.889,0,0,0,11.0285,0,0,0,0,1.0915,0,0.891,0,0,0,0,0
"61",0,0,0,0,0,28.9295,76.9905,0,23.594,0,0.277,21.85,0,0.4475,0.378,0,0,0,0,31.288,0,0,0.966,0,0.779,0,0,0,0.1975,0,0.1215,0,0,12.25,0,0,0,0,0,11.925,0.323,0,0,4.75,0,0,0,31.175,0.505,20.149,0.486,0,0,23.801,0,0,0,0,0,0.3585,24.233,0,0,0,0,0
"62",0,3.067,0,0,25.35,0,1.4605,0,13.179,0,0.277,7.325,0.1305,0,0.15,0,21.225,0.588,0,39.5515,0,0,23.7175,0.56,0.686,0,0,0,0.148,0,0,0,0,0,0,0,0,0,0.1625,22.675,0.137,0,0,0.1975,0,0,0.191,9.086,0,20.314,0,0,0,0.27,0,0,0,0,0.2935,0,1.9915,0,0,0,0,0
"63",0,24.047,0,0,19,0,1.763,0,79.2655,0,0,7.8825,19.3,0.4475,0.378,8.876,55.169,0,0,0.3025,0,0,2.5525,0,1.0085,0,0,0,5.3105,0,0,0,0.066,0,0,0,0,0,0.365,22.675,37.7835,0,0,0.3975,0,0,0.254,12.107,0.687,20.149,0.5285,0,63.0315,0.869,0,0.075,0,0,0,0.3585,1.5165,0,23.5,0,0,0
"64",0,22.4215,10.875,0,31.21,0,50.552,0,110.1045,0,0,0.1435,83.475,45.3605,0.15,9.415,68.34,0,0,48.65,0,0,1.013,0,27.0275,0,0,0,5.4695,0,0,16,0,0,0,0,0,0.076,0,0.215,0.6645,0,0,6.1725,0,0,0,10.755,1.5275,10.355,0.5285,18.45,128.2625,0,0,0,0,0,0,0,0.7635,0.22,0,3.45,0,0
"65",0,39.627,0,0.0765,32.705,0,44.238,0,96.658,0,1.022,0.1435,53.753,23.315,0.528,0.679,70.775,0,0,197.906,0,0,0,0,0.285,0,0,0,0,0,0,0.12,0,0,38.28,8.1415,0,0,0,56.1,0.3725,0,0,0,0,0,25.4,11.206,1.5745,10.26,0.3025,0.2275,0,0.22,0,0,0.3325,0,0,0.4575,0.595,0,0,0.0675,0,0
"66",0,18.675,29.3825,0,25.665,0,16.775,0,88.188,0,4.6605,0.1435,69.2185,67.9295,0.528,0.1865,34.709,0,0,354.025,0,0,0.8275,0,0.5535,0,0,0,5.4695,0.3005,0,22.784,0,0,68.2865,32.2925,0,0,0,22.675,0.7175,0,0,0.24,0,0,25.4,10.3275,72.308,0.75,0.6855,30.1775,0.745,0.23,0,0,4.494,0,0,0.155,0,0.4875,0,12.45,0,0
"67",0,19.2125,40.6365,0,32.705,0,16.5165,0,96.445,19.03,1.758,0.1435,49.431,0.7375,32.1015,5.1515,35.378,0,0,462.75,0,0,0,0,0.2635,0,0,0,0.2135,20.475,0,0.2645,0,0,83.834,72.507,0,0,0,0.4535,0.5365,0,0,0,0,0,12.7,0.499,120.4575,0.75,0.3535,92.778,0.382,16.1685,0,0.075,0.0825,0,0.544,0.3485,0,5.85,0,0.249,0,0
"68",0.575,14.2135,18.8025,0,0,0,9.218,0,107.7635,0.155,19.9395,0,0.453,0,32.841,5.0615,0,0,0,418.8,0,0,0,0,69.95,0.155,0,0,5.4695,16.976,0,139.823,0,0,58.935,78.2585,0,0,0,22.675,0.9925,0.148,0,0,0,0,12.7,9.855,107.336,0.36,0.1195,185.503,0,1.221,0,25.712,0.0825,0,152.895,8.01,0,6,0.1175,0,0,0
"69",0,0,61.672,0,0,0,35.361,0,61.6995,23.5,33.432,0.15,0,0.427,19.7795,0,0.345,0,0,224.9435,0,0,0,0,13.2635,0.155,0,0,0.1125,0.4755,0,206.8255,0,0,44.5085,65.31,0,0,0,45.3,0.4595,0,0,0,0,0,12.955,0,64.948,0,0.234,79.6965,0,16.4595,0,0,0,0,196.769,0.154,0,5.97,0.1175,0,0,0
"70",0.23,0,0,0,0,0,16.9455,0,0.145,0,2.1005,0,0,0,0,0,0,0,0,16.061,0,0,0,0.572,13.4045,0.155,0,0,0.2985,0,0,0,0,0,0,0,0,0,0,35.175,0.246,0,130.075,0,0,0,0,0,37.0145,0.1285,0,0,0,0.18,0,0,0,0,0,0.23,63.42,0.115,0,0,0,0
"71",0,0,0,0,0.131,0,34.385,0,0,0,0.791,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,12.14,0,0,156.21,3.875,0,0,0.189,0.0325,28.1275,0,0,0,0,0.18,0,0.075,0,0,0,0,0,0,0,0,0,0
"72",17.48,0,0,0,0,0,19.053,0,0,0,0.2825,0,0,0,0,0,0.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2025,0,8.35,0,61.135,0,0,0,9.869,12.331,47.0385,0,0,0,0,0.4265,0,0,0,0.215,0,1.2085,0.188,0.115,0,0,0,0
"73",0,0,10.875,0,0.316,0,58.675,0,0,0,0,0,0,0,0,0,0.3615,0,0,0.315,0,20.5,1.502,0,0,18.675,0,0,0.1425,0,0,0,0,0,0,0,0,0,0,22.675,0.451,0,122.3325,0.12,0,0,8.938,2.08,41.0165,0.195,0,0,0,0,0,0,0,0,0,0.23,11.64,0,0,0,0,0
"74",17.25,0.0535,0,0,0,0,19.766,0,0.6595,0,0,22.5,0,0,0,0,21.2615,0,0,31.5,0,0.205,0.587,0,0,0.155,0,0,0.1425,0,0,0,0.081,0,0,0,0,0,0.1925,12.14,0,0,96.135,0,0,0,0.3065,61.523,90.1365,0,0,0,79.0075,0.29,0,0,0,0,0,0.865,0.727,0.1,0,0,0,0
"75",17.25,0.3735,0,0,0,0,42.3165,0,0.301,0,0,0.5845,0,0,0.2695,0,10.45,0,0,54.75,0,0,1.013,0,0,11.08,0,0,0,0,0,0.32,0.141,0,0.154,0,0,0.0575,0,22.65,0,0,0,0.105,0,0,20.45,117.0575,0.8625,0.2585,20.35,0,66.4,0,0,26.75,0,0,0,0,0,0.12,0,0.1,0,0
"76",17.48,0,0,0.0765,0,0,14.6215,13.175,17.925,0,0.105,14.675,0,0,0,0,42.1615,0,0,31.7325,0,0.205,1.076,28.6,14.125,0,0,0,0.235,0,0,0,0.075,0,34.9465,0,0,0,0,68.025,0,0,36.352,0,0,0,0.8055,49.2865,1.1275,8.445,0,0,0.858,0.1705,0.274,0.0625,0,0,0,0.454,0,0.1,0,5.12,0,0
"77",0.345,0,19.6165,0,0,0,25.5345,0,0.224,0,0.105,14.82,0,1.9445,0.2695,0,10.45,0,0,15.75,0,0,0.489,0,14.51,10.925,0,0,0,0,0,0,0.305,0,9.362,0,0,0,0,22.675,3.9,0,148.4975,0,0,0,17.859,32.393,18.641,0.6485,0.425,0,0,1.151,0,0,0.135,0,0.3235,14.95,0,0.1,0,12.704,0,0
"78",17.48,0,24.15,0,0,0,37.9185,0,0.29,0,0,0.2935,0,0,0,0,10.45,0,0,0,0,0,0.587,1.32,31.3865,0.2185,0,0,0.1425,0.258,0,22.75,0,0,26.3835,0,0,0,0,0.2385,0.569,0,0.4225,0,0,0,0.349,0.15,28.8935,0.165,0.9685,0,0,12.8765,0,0,0.154,0,9.066,26.45,0.463,0,0,12.45,0,0
"79",0,0,100.4435,0,0,0,2.141,0,0,17.7175,0.277,0.4385,0,0,0.528,0,0,0,0,44.8525,0,0,0,0,13.316,0,0,0,0,12.966,0,0.286,0.1,0,0.4365,0,0,0,17.75,0,0.451,0,40,0,0,0,0.189,0.15,1.528,0.345,9.0225,0,0.3615,12.351,0,0,0.079,0,54.4575,0.609,0,6.1,0,0.249,0,0
"80",17.25,0,63.881,0,0,0,20.928,0,0.077,8.719,1.083,0.1435,0,0,0,0,10.45,0.13,0,51.2835,0,0,0,0,22.7415,0,0,0,0,13.3145,0,0,0,0,0,0,0,0.141,0.395,0,0,0,35.8,0,0,0,8.189,0,0.337,20.415,9.9355,0,0.3615,18.288,0,0,0,0,117.3475,0,47.7415,11,0,0,0,0
"81",0,0,79.4225,0,0,0,2.059,0,15.875,45.5,0,0,0,0,0,0,0.209,0,0,120.125,0,0,0,0,14.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9255,0,0,31.6,0,0,0,0,0.2425,10.041,19.5,0.3915,0,18.82,0.686,0,0.1525,0,0,8.3395,15.26,246.0325,0,0,0.249,0,0
"82",0.345,0,17.4075,0,0,0,33.2975,0,4.375,0,0.5415,7.6435,0,0,0,0,0,0,0,81.6115,0,0,0,0,0,0,0,0,0.159,0,0,0.32,0,0,0,0,0,0,0.1625,35.775,0,0,0,0,0,0,0,20.6,1.1485,28.2785,20.35,0,37.25,13.849,0,0,0,0,0,0.754,264.496,0,0,0,0,0
"83",0,0,0,0,0,0,17.8995,0,0.3175,0,0.9425,37.665,0.066,0,0.378,0,0,0,0,59.99,0,0,3.268,0,0.415,0,0,0,0,0,0,0,0,0,0,0,98.5,0,0,11.925,0,0,1.2015,0,0.44,0,0,0.7605,20.1005,28.7675,0,0,0.382,33.551,0,0,0,0,0.5815,15.799,38.5855,0,0,0,0,0
"84",0.345,0.145,0,0,8.131,80.9575,13.733,0,67.2625,0,0.5395,0.2935,0,0,0,0,0,16.6,0,36.6175,0,0,89.828,0,13,0.155,0,0,0,0,0,0,0,0,0,0,331.375,0.08,0.2025,45.35,0,0,60.075,0.215,0,0,0,10.9975,0.391,19.815,17.003,0,0,5.2505,0,0,0,0,0.313,0.455,13.1195,0,0,0.286,0,0
"85",0,0,0,0,16.385,65.3825,66.115,0,79.465,0.1405,0.682,0,0,0,0,0.4805,10.3,33.2,0,8.857,0,0,28.4255,0,0,0,0,0,0,0,0,0,0,0,0,0,103.91,0,0.2025,0,0,0,2.54,0.32,0,0,0,11.166,0.53,28.514,14.078,0,0,11.0045,0,0,0,0,38.0935,0.7435,0.49,0,0,0,0,0
"86",0.345,16.81,28.25,0,4.085,0.4295,32.791,0,43.8615,0,13.7725,0.1435,41.2,0.29,0,0.2765,79.8115,27.7,0,0,0,0,67.442,0,0.1465,0.3735,0,0,0.3615,0,0,0,0,0,7.883,0.059,10.9235,0,10.48,10.9885,0.2275,0,284.88,11.465,0,0,0.255,23.3875,1.296,18.555,13.4565,15,0,0.445,0,0,0,0,36.8225,16.0335,0,0,0,0,0,0
"87",0.345,45.55,0,0,13.855,0,43.951,0,61.488,0,0.675,7.5,65.15,0.395,0,5.14,45.625,16.6,0,27.739,0,0,185.5485,0.56,0,7.75,0,0,0,0,0,0.32,0,0,0,20.1745,0,0,8.52,21.5,0.246,0,382.882,6.225,0,0,0,12.7935,19.55,10.73,0,15.22,0,39.39,0,0,0,0,0.781,15.875,0,0.15,0,0,3,0
"88",0,1.022,11.037,0,42,0,46.6375,0,48.8375,0,22.864,0,38.3,0.6275,0.15,19.74,83.155,0,0,112.4255,0,0,145.2115,28.6,0,0.155,0,0,0,26.375,0,0,0,0,17.5125,39.9,0,0.046,8.475,24.35,32.618,0,40.8,0.12,0,0,0.255,0.7425,0,10.1835,0,10.625,0,24.543,0,3.75,0.249,0,0,16.407,0,0,0,72.3095,0,0
"89",0,37.304,10.875,0,38,0,37.642,0,105.765,0,31.9925,7.5,58.609,32.475,9.1915,14.7405,102.206,33.2,0,116.925,0,10.25,98.4255,276.847,0,15.5,0,0,0,65.675,0,0.659,0,0,85.095,68.341,0,0,8.105,51.175,1.204,0,302.239,0,0,0,38.25,0,45.334,0.295,0.4375,23.09,0,15.1995,0,10.696,0.497,0,38.213,16.382,12.25,11,0,192.877,0,0
"90",0.345,10.69,0.5495,0,8.085,0,28.6015,0,105.813,0,9.647,0.15,0.4375,0.3375,82.0575,0.0855,66.0615,16.6,0,124.371,0,17.25,108.58,16.51,28.375,7.75,0,0,5.05,22.7135,0,0.4115,0,0,110.675,67.607,0,0,0.168,24.839,0.697,18.025,0.272,0,0,0,25.5,0,22.745,0,23.4,13.694,0,26.396,0,3.825,4.641,0.2465,138.9285,12.1785,0.127,15.0185,0,184.77,0,0
"91",0.1475,30.1525,29.8035,0,0,0,28.909,0.538,43.605,0,14.977,15,17.4,7.2,42.796,0.0505,45.156,0.562,0,83.125,0,0.205,0,43.585,27.25,0.155,0,0,7.6135,19.801,0,180.8,0.165,0,135.159,85.29,0,0.0575,0,0.5785,10.675,0.5085,99,0,0,0,38.25,0,1.196,0.15,0.559,0.6295,0,14.3145,0,45.975,7.16,0.26,275.7525,0.8645,0,21.62,0,23.108,0,0
"92",0,0,20.04,0,0,0,1.8825,0,40.925,0.17,1.3045,14.7685,0,0,1.465,27,38.5115,0,0,72.174,0,17.25,0,30.43,101.55,18.675,0,0,5.05,0.4045,0,152,0,0,114.355,94.24,0,0,0,58.95,10.675,0,68.332,0,21.959,0,38.25,0,0.4475,0.2585,0.592,0,0,38.2425,0,37.375,0.2,0,297.6,0.75,0.188,17.07,0,13.2085,0,0
"93",0.345,0,0,0,0,0,2.7145,0,40.925,45.59,15.522,0.1985,0,0,0.2575,0,0,0,0,0.3575,0,0.205,0.587,15.002,0,0,0,0,0.101,0,0,0.12,0,0,26,0.59,0,0.076,0,48.2,0,0,34.272,0,8.2935,0,12.75,0,44.75,29.55,0.325,0,0,0.0755,0,13.525,0.056,16.09,75.79,10.8035,76.7205,0.09,0,0.8165,0,0
"94",0,0,0.162,0,0,0,54.7715,0,23,31,15.1775,0.436,0,0,0.15,0.1055,0,0,0,0.5325,0,10.25,0.5105,0.572,19.0825,21.85,0,0,0,0,0,0.32,0,0,0.26,2.85,0,0,0,48.325,0,0,99,0,0,0,12.75,0,45.4775,18.338,10.175,0,0,22.175,0,0,0,0,35.9195,0.21,279.3645,0,0,0,0,0
"95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",0.536,0,16.2,0,0,0,19.4735,0,0.23,0,0.532,7.6985,0,0,0,0,0,0,0,9.0825,0,0.205,3.9585,0,0.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.947,0,0,0,0,0,0,0,1.2485,0.805,14.434,0.267,0,0,0.7905,0,0.6705,0,79.2,0.975,0,46.62,0,0,0,0,0
"97",0.191,0.077,16.2,0,0,0,2.582,0,0.23,0,0,20.6435,0,0,0,0,20.9,0,0,8.55,0,0,1.455,0,0.5235,11.08,0,0,7.3225,0,0,0,0.147,0,0.374,0,0,0,0.3255,22.947,0,0,241.6765,0,0,0,0,59.8735,0.4475,11.708,0.426,0,0,0.181,0,37.5675,0,99.5425,0.4675,0,25.301,0,0,0,0,0
"98",0,0.1985,16.2,0,0,0,17.7065,0,17.3155,0,0,16.725,0,0,0,0,50.909,0,0,0,0,20.5,29.776,0,0,0.2185,0,0,0.255,0.258,0,0,0.081,12.25,0.184,0,0,0,0,24.462,0,0,0,0,0,0,0,41.007,0.3575,41.3835,0,0,0,0.27,0,0,0,0.29,0,0,0,0,0,0,0,0
"99",26.8,18.752,0,0,0.085,0,45.739,0,13.015,0,0.4125,21.525,6.95,0.381,0,5.2255,65.85,11.5,0,55.765,0,10.25,0,0,39.35,21.85,0,0,0.34,0,0,0.659,0,0,0.154,0.059,0,0,0.168,6.7035,0,0,0,0,0,0,0,29.257,0.5505,29.373,0,15.2005,45.065,0.5015,0,0,0,0.8565,0,0,0.4685,0,0,0,0,0
"100",0,8.101,11.0715,0,0.3,0,3.512,0,13.015,0,0.5075,7.175,0,61.9745,0,0.4325,55.4,0,0,36.3355,0,10.25,0,0,26.46,11.08,0,0,7.4815,0,0,0.445,0.1,0,0.1285,0,0,0,0,59.3255,0,0.11,0,0,0,0,0,0.6395,1.165,36.954,0,1.2645,1.274,0.0755,0,7.625,0,12.316,0,14.95,0,0,0,0,0,0
"101",17.441,26.471,10.875,0,0,0,36.589,0,35.913,0,22.0675,7.175,0,106.306,0.378,0,65.85,0,0,9.417,0,10.25,0,13.75,26.35,10.925,0,0,0.6365,0,0,98.4865,0,0,0.444,0,0,0,11.6925,85.075,0,0.11,0,0,0,0,0,11.25,46.7375,46.6445,0,105.482,81.85,0.4295,0,0.405,0,0.501,0,12.225,0,0.09,0,0.086,0,0
"102",0.536,24.3275,32.2,0,0,0,33.2615,0,12.0445,0.1215,0.93,0,0,216.026,0,0.27,48.6,0,0,36.065,0,0,0,78.4745,64.85,0,0,0,0.741,13.0795,0,158.125,0,0,0,0,18.05,0,19.5375,22.947,0,0,0,0,0.24,0,0,0.192,9.832,18,10.309,127.4205,8.095,0.27,0,6.1525,0,0,0,0.317,0,0,0,0,0,0
"103",0.345,0,9.5565,0,0,0,45.572,0,23.2545,10.745,0.7115,0.1435,0,148.956,0.2815,0.27,48.6,0,0,126.44,0,0,0,57.7185,59.275,0,0,0,7.336,22.5,0,0.445,0,0,0.184,0.057,0,0,16.63,40.1975,0,0.11,0,0,0,0,0,0.817,28.605,0.36,35.1,0.2605,96.847,4.701,0,0,0,0,0,27.492,0,0.1,0,0,0,0
"104",0,0,84.6015,0,0,0,19.6485,0,34.5,0,0.277,0,0,44.847,0.2815,27,21.245,0,0,84.868,0,0,0,2.582,107.505,0,0,0,0.2635,0,0,0,0.1085,12.75,0,0.057,0,0,11.8305,47.4005,0,0.11,0,0,0.2025,0,0,0.1685,0.505,0.5695,11.881,0,91.967,13.5,0,0.0635,0,0,0.9135,0.5435,0.3715,0.21,0,0,0,0
"105",0.23,0,83.6,0,0,0,2.7375,0,11.577,0,0,0,0,44.927,0,0,0,0.13,0,65.9675,0,0,0,0,14.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3005,0,0,42.0015,0,0,0,0,0.3705,45.64,8.8795,0.5995,0,120.0825,0.29,0,0,0,0,32.385,36.242,55.5405,0,0,0,0,0
"106",0,0,22.392,0,0,0,11.1305,0,0.4575,0,0.2495,0.15,0,1.664,0,0,0,0,0,63.446,0,0.205,0.5105,0,19.5035,7.9685,0,0,0,0,0,0,0,0,0.184,0,0,0,0,22.261,0,5.5,1.2015,0,0,0,0,0.5305,140.457,0.36,20.058,0,19.8435,46.375,0,0,0,25.866,0,28.2785,181.8865,0,0,0,0,0
"107",0.766,0,8.33,0,0,0.212,19.491,0.403,11.9405,0,0,2.8935,0.106,0,0,0,16.811,17.106,0,62.55,0,0.205,47.314,0.68,18.8,7.75,0,0,0,0,0,0.2645,0,0,0,0,30.0725,4.5,0.3705,12.05,0,0,0.9935,0.105,0,0,0,0,30.241,8.8795,0.1315,0,0.1875,14.62,0,15.545,0,24.1,0,16.875,108.8415,0.07,0,0,0,0
"108",0,0,8.1,0,0,139.1,20.365,0,55.365,0,0.2495,5.6435,0.281,0,0.378,0,0.209,0,0,16.109,0,0.205,42.638,0,0,0,0,0,0,0,0,0,0,0,0,0,24.215,0,0.7205,0.5785,0.137,0,180.1725,0,0,0,0,0.2425,61.4505,10.3495,0,0,0,32.346,0,15.1635,0,68.1215,0.635,0.8775,93.4665,0,0,0,0,0
"109",0.766,0.5185,8.1,0,4.365,67.625,1.3705,0,39.7185,0,0.0675,14.63,9.125,0,0,0.305,61.185,102.031,0,0.4415,0,0,74.0745,0,0,7.75,0,0,0,0,0,0,0,0,0,0.059,9.93,0,0,21.625,0.246,0,122,4.96,0,0,0,0,71.07,11.63,0,0,0,14.67,0,8.2675,0,50.91,0,37.804,53.5495,0,0,0,0,0
"110",0,0.1305,0.334,0,0.085,0.17,51.6455,0,62.33,0,0,0.1435,53.325,0,0.15,15.351,65.7,16.6,0,20.683,0,0.205,41.2705,0,0,7.75,0,0,0.159,0.076,0,0,0,0,0,0,0,0,10.4855,42.525,0,0,311.6765,36.03,0,0,0,0.6975,89.243,0.497,0.2035,0,0,15.0955,0,7.94,0,63.4,0.199,116.642,2.674,7.615,0,0.075,0,0
"111",0,13.952,0,0,14.75,0,1.652,0,117.6805,0,5.7575,0.1435,63.784,0,0.4075,9.63,139.205,58.7895,0,56.721,0,10.25,74.027,0,13.175,0,0,0,0.148,0.066,0,0.445,0,0,9.65,11.14,0,0,26.293,0.6135,0,0,0,10.6725,0,0,0,0,134.6735,0.4345,0.4685,0,0,15,0,0.52,0,37.1,0,93.28,0.3615,7.5,0,16.89,0,0
"112",0,48.6365,0.3725,0,4.58,0.2,19.544,0,75.133,0,31.0455,0,17.6155,0,1.694,5.6865,65.219,98.26,0,95.25,0,0.205,139.65,0,0,7.75,0,0,0,0,0,22.25,0.196,0,0.134,35.15,0,0,8.668,41.722,0.1015,0,34,0.2,0,0,0,0,134.061,0.21,10.8335,0,4.45,6.6505,0,0.0635,0.174,12.3675,0.14,64.745,0,7.735,0,37.285,0,0
"113",0,4.15,15.7175,0,0.08,0,29.7475,0.2875,87.8675,0,6.189,0.2885,0.355,0,83.073,7.88,18.3515,107.5385,0,114.7265,0,0.205,189.8,0.275,0,0,0,0,5.773,13.0135,0,22.536,0.066,0,44.4925,25.336,0,0,0,91.325,0,0.11,70.9935,0,0,0,0,0.18,26.1705,0,18.475,0,37.25,1.371,0,0,4.009,37.366,0.4325,52.249,0.446,0.265,0,105.4105,0,0
"114",0.23,14.1025,0,0,0,0.17,1.8295,0,85.688,15.5,14.5635,7.175,0,0,130.0425,0.3555,21.1705,72.054,0,119.1535,0,0.55,72.402,0.145,37.6,0.155,0,0,0.2135,20.7,0,73.7,0.066,0,29.325,3.3645,0,0,0.32,36.4355,56.021,0,0.68,0,0,0,12.91,10.3,71.07,0,0.2015,0,0,0,0,3.25,0,24.1,43.139,42.9235,0.343,7.715,0,55.5025,0,0
"115",0.191,0.279,0,0,0,0,20.588,0.3455,34.6,6.4115,14.548,17.75,0,0,137.541,27,44.155,0.588,0,116.3015,0,0,0.915,1.0415,13.9245,0,0,0,5.625,32.5005,0,135.9,0,0,25.2685,8.2605,0,0,0.3255,59.3005,11.372,0,0.68,0,0,0,12.75,20.75,25.8005,0,10.265,0,0,0.451,0,6.425,0,0,95.596,27.5835,0.228,6.16,0,40.765,0,0
"116",0.23,0,34.825,0,0,0,9.1865,0,0.3585,0.173,39.55,0,0,0,19.577,0,0.206,0,0,67.25,0,17.25,0,0,105.275,10.925,0,0,0,0.0755,0,0,0,0,0,0,0,0,0,11.364,0,0,0,0,72.2375,0,0,0,52.775,11.225,0,0,0.477,0,0,0,0,0,87.924,1.422,0.8,13.37,0,0.474,0,0
"117",0.421,0,8.1,0,0,0,26.073,0,0,7.84,1.0735,0.094,0,0,0.378,0,10.3,0.15,0,31.7325,0,17.25,0,0,59.5075,0,0,0,0,0,0,0.298,0,0,0,0,0,0,8.98,35.597,0,0.1885,0,0,0,0,0,0,0.505,0.2245,0,0,0,0.3865,0,0,0,0,0.4325,0.5335,40.917,0.25,0,4.55,0,0
"118",0,0,8.1,0,0,0,19.1115,0,4.375,0.5325,0.791,0.3485,0,0,0.522,0,0,0,0,0.455,0,0,0,0,0,0,0,0,0.1425,0,0,0,0.066,0,0,0,0,0,0.1625,36.4,0,0,0,0,0.25,0,0,0,0.5505,11.225,0.4005,0,0,0,0,0.0635,0,0.241,0,0.652,91.6625,0.1,0,0,0,0
