"Afrocarpus_falcatus","Alangium_chinense","Albizia_gummifera","Allophylus_kiwuensis","Antidesma_spp","Apodytes_dimidiata","Balthasaria_schliebenii","Beilschmiedia_rwandensis","Bersama_abyssinica","Bridelia_brideliifolia","Carapa_grandiflora","Casearia_barteri","Cassipourea_ruwenzorensis","Chrysophyllum_gorungosanum","Chrysophyllum_rwandense","Cleistanthus_polystachyus","Croton_macrostachyus","Croton_megalocarpus","Dichaetanthera_corymbosa","Dombeya_torrida","Drypetes_gerrardii","Drypetes_occidentalis","Ekebergia_capensis","Entandrophragma_excelsum","Ficalhoa_laurifolia","Ficus_oreodryadum","Ficus_sur","Garcinia_volkensii","Grewia_mildbraedii","Harungana_montana","Heinsenia_diervilleoides","Ilex_mitis","Ixora_burundensis","Kuloa_usambarensis","Macaranga_kilimandscharica","Maesa_lanceolata","Magnistipula_butayei","Maytenus_acuminata","Millettia_dura","Musanga_leo-errerae","Myrianthus_holstii","Neoboutonia_macrocalyx","Newtonia_buchananii","Noronhia_africana","Ochna_afzelii","Ocotea_kenyensis","Olea_capensis","Olinia_rochetiana","Parinari_excelsa","Pentadesma_reyndersii","Podocarpus_latifolius","Polyscias_fulva","Prunus_africana","Psychotria_capensis_var_puberula","Psydrax_subcordata","Rapanea_melanophloeos","Rytigynia_kigeziensis","Sapium_ellipticum","Strombosia_scheffleri","Symphonia_globulifera","Syzygium_guineense","Tabernaemontana_stapfiana","Vepris_stolzii","Warneckea_walikalensis","Xymalos_monospora","Zanthoxylum_gillettii"
"14",0.345,0,0.2825,0,0,9.4795,1.335,0,26.25,0,0,30,6.95,0,0,0,18.075,0,0,0,0,0,79.656,0.554,0,0,0,0,39.175,0,0,0,0.1895,0,0,0,0.344,0,9.625,43.525,0,0,41.2015,0,0,0,0,0,89.442,0,0.235,0,0,0.2635,0,0,0,0,0,0,0.343,0,0,0,0,0
"15",0,0.337,0,0,0,0,50.044,0,0,0,0,22.936,0,0,0.378,0,31.35,0,0,24.3,0,0,1.127,0.749,0,0,0,0,0,0,0,22.25,4.125,0,0,2.95,0,0,0,98.95,0.137,0,163.63,0,0,0,0,0,117.73,0,0,0,7.35,0,0,0,0,0,0,0,0,0.215,0,0,0,0
"16",0.345,0.077,0.2175,0,42.6,0,29.182,0,53.4005,0,0.401,7.269,0,65.74,0.544,0,49.425,0,0,30.0425,0,0,29.35,1.117,0,0,0,0,5.9705,0,0,0.5705,4.246,0,0,0.059,0,0,16.25,43.525,0,0,0,12,0,0,20.2,45.725,78.7115,0,0.1065,36.9,0.701,0,0,0,6.75,0.45,0.32,0,0,0.215,0,0,0,0
"17",0.345,0,10.875,0,50.535,0,53.0865,0,8.9465,0,0,4.8435,0,77.505,0.316,0,49.425,0,0,77.625,0,0,29.35,0.81,0,0,0,0,0.718,0.225,0,22.536,0.081,0,0,6.1285,0,0,0,0,0,0,173.68,0,0,0,0,85.054,19.4395,0,0,18.75,7.909,0.061,0.274,0,0.059,0,0.32,0,0,5,0,68.5655,0,0
"18",0.345,0,0.2075,0,23.855,0,32.656,0,15.425,0,0,0.1435,0,146.285,0.15,0,10.8115,0,0,59.34,0,0,29.35,162.4,0,0,0,0,0.4195,0.225,0,28.811,0,0,0,0.426,0,0.051,0.1625,0.215,0,5.5,34.8,0,0,0,20.2,82.072,1.829,0,0.2015,15,21.597,0.586,0,0,8.7,0,1.256,0,0,6.1,0,128.6555,0,0
"19",0,51.225,8.375,0,0.321,38.6,85.3205,0,28.3505,7.7,13.85,0,0,144.683,0,0,0,0,0,28.775,0,0,0,207.1315,19.368,0,0,0,0.718,15.025,0,70.49,0,0,0,5.662,0,0.0575,0.365,42.375,0.697,5.5,68,0,0,0,0,1.8775,114.346,0,0.181,63.1005,86.7115,74.1165,13.7,0,0.326,0,0.76,0.154,0.25,0.1,0,29.687,0,0
"20",0.345,0.1675,71.9,0,0,0,51.7995,0.115,24.449,7.7,14.0525,0,0,62.2975,0,0,20.9,0,0,12.75,0,0,0,74.955,120.6,0.3735,0,0,0.617,0.1515,0,0.1335,0,0,0.37,21.794,0,0,9.8275,11.1675,10.885,5.5,169,0,0,0,0,0,1.694,0,0,31.708,77.7,1.0885,27.4,9.5,0,0,1.386,0,13.2625,5,0,0.404,0,0
"21",0,0,177.5225,0,0,0,42.77,0.609,11.5,23.4075,33.652,0,0,0.835,0.4195,0,20.9,0,0,14.472,0,0,0,107.425,107.4455,0,0,0,0.1975,0.3005,0,0,0.081,0,4.75,0.3435,0,0.076,0.2025,43.55,0,0,168,0,0,0,0,0.1685,134.8675,0,14.469,0,45.409,50.4125,0.274,12.85,0,0,23.411,0,108.2375,0.1,0,0,0,0
"22",0.345,0,206.475,0,0,0,25.526,0.609,12.725,16,34.1065,0.45,0,0,0,0,10.45,0,0,13.484,0,0,0,0,131.2615,0,0,0,0,0,0,0.298,0,0,0,11.4,0,3.0575,9.8275,12.14,0,0,102,0,0,0,0,10.1425,43.1125,18.874,0.3935,0,97.8195,24.5905,0,18.4325,0,0,0,0.6035,308.615,0,0,0,0,0
"23",0.345,0,0.44,0,0,0,19.4745,0,12.725,0.155,28.2845,45,0,0,0,0,35.5,45.35,0,52.2595,0,0,0,0.745,86.225,0.2185,0,0,0,0,0,0.125,0,0,0,0,0,0,0,31.8635,0,0,101,0,0,0,0,1.201,29.3065,18.15,0,0,9.7825,10.8545,0.274,10.535,0,0,0,7.75,487.0485,0,0,0,0,0
"24",0,0,0,0,0,0,24.3535,0,0.2545,0,27.6905,0.15,0,0,0,0,0,0.2635,0,30.156,0,0,72.877,0,32.8665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0.3195,18.957,25.5,23.406,0,0,13.3255,0,0.498,0,0,21.8175,0,263.8935,0,0,0,0,0
"25",0,0,0,0,0,0,55.412,0,0.468,0,14.5155,0.1435,0,0.408,0,0,0.206,59.68,0,15.75,0,0.205,122.025,0,0.5285,0.2185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6105,0,0,5.25,0,0,0,0.791,94.624,16.594,14.484,0,0,5.6325,0,6.556,0,0.215,52.475,17.057,40.228,0,0,0,0,0
"26",0,0,0,0,0,0.35,45.568,0,82.868,0,13.8975,0.1435,0,0,0,0,0.415,100.15,0,31.2975,0,0.205,99.53,0,0,0,0,0,0,0,0,0,0,0,0,0.151,0,0,0,0,0,0,53,0.1975,0.722,0,1.2935,32.927,19.5445,52.95,15.041,0,0,0.8695,0,0.126,0,0,16.0925,28.7955,1.9915,0,0,0,0,0
"27",0,0.0535,0,0,0,0,40.4895,0,69.6555,7.75,0.2835,7.3445,0.283,0.89,0,0,10.45,13.507,0.284,15.896,0,0.205,119.209,0.565,0,0,0,0,0.3455,0,0,0,0,0,0,0.109,0,0.06,8.52,0.656,0.304,0,106,22.7675,0,0,0.409,131.0595,19.187,29.559,0.592,0,0.486,0.46,0,0.2585,0,0,0,13.2955,0.475,0,0.1175,0,0,0
"28",0,0,0,0,0.105,0,74.616,0,65.5295,7.75,14.44,0.1435,0.1285,0.347,0.888,5.14,103.835,50.45,0,123.775,0,0,97.151,100.1745,0,0,0,0,9.875,0.1135,0,0.298,0.075,0,0.267,3.2735,0,0.15,0.395,12.7955,0,5.5,106,11.7425,0,0,0,42.488,19.3765,8.12,0.2035,0,0.892,0.314,0,0.4675,0.603,0,0,8.8895,0.295,0.1,0,0.0675,0,0
"29",0,0,0.43,3.825,5.25,0,53.7995,0,21.699,0,15.031,0.1435,7.766,0.4425,13.409,0.191,63.615,0.332,0,271.5275,0,0,111.4315,47.944,0,0,0,0,0.458,0.483,0,0,0,0,78.88,40.75,0,2.935,20.4125,22.675,0,34.9475,139,0.095,0,0,17.625,40.0105,37.602,7.695,0.2015,0.175,0,14.629,0,33.321,13.525,0,22.2615,43.1585,0,5,0,5.8015,0,0
"30",0,0,12.45,0,5.461,0,18.699,0,36.5175,0,74.5135,0,101.425,23.21,0.8035,19.25,52.7265,52.85,0,385.075,0,0,125.9825,211.157,0,0,0,0,10.3955,0,0,22.5895,0,0,155.275,79.412,0,2.875,38,87.1,0.413,36.185,79.6,0,0,0,34.755,24.1185,0,0.195,0,0.2275,0.745,51.829,0,110.4,16.999,0,128.285,31.6325,0,5,0,4.0825,0,0
"31",0,0.3735,33.1195,0,4,0,34.7675,0,67.0685,16.737,165.906,0,104.1785,45.089,1.2575,10.015,49.17,15.2635,0,353.85,0,0,24.8475,173.835,0,0,0,0,10.2945,12.9,0,51.095,0.1,0.37,223.5,101.164,0,0.06,10.125,32.8,12.992,49.71,0.272,0,0,0,0.702,32.206,0.4085,0.51,0.181,0.574,0,57.086,0,106.25,11.35,0,475.6945,43.2185,0,0.1,0.2385,0.2475,0,0
"32",34.5,0,16.356,0,0,0,58.658,0,13.2935,25.392,158.5135,0.15,0.446,0.8745,7.8575,0.0975,83.7,15.1385,0,176.3075,0,0,0,70.95,0,0,0,0,0.101,26.001,0,192.2345,0.075,0,150.225,117.983,0,0,0,75.413,0.9105,0.3275,30,0.105,0,0,0.357,32,0,9.75,11.75,0.4905,0,50.752,0,116.95,0.19,0,362.768,47.775,0,5.1225,17.625,0,0,0
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.783,0,0.4235,0,0,0,0,0,0,0,0,0,0,0,0,15.575,0,0,0,0,0,0,0,0,12.52,0,0,0,0,16.4685,0.3485,0,0,0,0,0,0
"34",0.345,0,19.375,0,0.08,0,13.4225,0,0.15,0,80.436,0,0,0,0,13.601,0,0,0.284,17.1,0,0.205,0,0.572,15,0,0,0,0,0,0,0.286,0.131,0.255,19,3.0915,0,0.1175,0.365,54.3,0.246,0,1.5935,0,0,0,0,0,0.37,0.36,0.1175,0,0,31.5555,0,22.275,0,0,16.712,0,42.45,0.1,0.1175,0,0,0
"35",0.345,0,0,0,0,0,2.576,0,0.077,0,87.0755,0,0,0,0,13.5,0,0,0.284,0.36,0,0,0,0,0,0.155,0,0,0,0,0,0.125,0,0,0,0,0,0,0.2025,65.6,0,0,49.675,0,0,0,0,0,0,1.059,0.515,0,0,12.3055,0,22.4775,0,10.75,0.5815,0,0,0,0,0,0,0
"36",34.5,0,0,0,0,10,1.691,0,34.577,0,54.1425,0.15,0,0,0,0,0,0,0,45.365,0,0,1.455,0,0,0,0,0,0,0,0,0.445,0.066,0,0,9.151,0,0,0.395,55.475,0,0,0,0,12.7645,0,0,0,0,0,0.2015,0,0,14.93,0,0.416,0,0,13.6775,0,0.228,0,0.1175,0,0,0
"37",34.5,0,0,0,13.1,20,1.1205,0,34.6505,0,0.8765,7.5,0,0,0,0,0,0,0,18.486,0,0,43.417,0,0,0,0,0,0,0,0,0,0.081,0,0,0.331,0.361,0,0.2025,33.015,0,0,0,0,10.389,0,0,0,0,0.195,0.2035,0,0,35.5475,0,3.75,0,0,0,0,5.978,0,0,0,0,0
"38",0,6.6,0,0,9.835,18.056,53.6265,0,11.8085,0,0.277,29.8,0,0,0.15,0,0.3615,0,0,20.175,0,0,29.35,0,7.1965,0,0,0,0.1975,0,0,0.1255,0.13,0,0,0,0,0,19.75,11.925,0,0,0,0.0775,9.0765,0,0,0,57.5,0.4735,0,0,0,0.44,0,0.075,0,0,0,0,6.693,0,0,0,0,0
"39",0,0.077,0,0,4.216,0.37,69.215,0,21.2315,0,0,7.175,0,0,0,0,12.209,0,0,73.979,0,0,0.587,0,145.9825,0.155,0,0,0,0,0,0,0.141,0,0,0,0,0,0,0.2385,0,0,0,0,0.4075,0,0,1.1355,0,0.195,0.3915,0,0,0,0,0,0,0,0,0,6.35,0,0,0,0,0
"40",17.25,3.85,0,0,33.685,0.17,31.9795,0,75.077,18.28,9.14,7.175,0,0.956,0,0.305,90.675,0,0,117.6175,0,0,29.776,0.32,111.7215,0,0,0,0,0,0,0.1255,3.816,0,0,0,0,0,0,99,0,0,0.66,0,0.4075,0,0,0,21.025,0.21,0,0,0,14.615,0,0,0.135,0,0,0,0,5.1225,0,0,0,0
"41",17.48,18.8215,0.165,3.825,12.08,0.2,30.807,0.403,26.3315,0.13,0.175,0.1435,0,18.4955,0,0,38.5115,0,0,89.764,0,0,0,0,79.56,0,0,0,0.411,0,0,6.275,4.05,0,0,10,0,0,8.3275,11.406,0.383,0,1.8815,0,0,0,0,0,21.025,0.15,0,33.45,0,13.41,0,0,14.25,0,0,0,46,0,0,0,0,0
"42",17.25,14.6985,12.075,0.0765,8.351,0,54.827,0,15.435,9.075,8.75,0.2935,0,52.6975,0.3375,0,38.39,0,0,119.869,0,17.25,1.0975,0.847,65.192,0,0,0,0.249,0,0,22.8005,0.147,0,0,0,0,0,0.5575,43.55,0.246,0.11,0,0,0,0,0,0,21.025,0,0.7165,64.1125,0,0.511,0,0,0.5235,0,10.01,0,0,0.1,0,11.7675,0,0
"43",0.23,93.02,47.5675,0,0.275,0.17,31.1475,0.2875,1.034,26.435,0.175,21.525,0,78.9925,0.1875,27,20.9,0,0,78.9525,0,0,59.24,33.9175,95.275,0.2185,0,0,0.718,22.576,0,91.75,0.081,0,0.275,10,0,0,0.2025,21.9175,0.246,0,0,0,0,0,0,0.655,40.6825,0,0.771,146.35,19.4615,1.14,0,0,0,0,58.799,14.95,0,7.6225,0,0.38,0,0
"44",0,0.74,54.572,0,0,0,42.677,0,0.7325,9.384,0,21.525,0,60.572,0.5655,0,20.9,0,0,139.5985,0,0.345,0,0.32,113.1825,10.925,0,0,0.1975,0,0,60.1985,0,0,0.154,0,0,0,0.2025,0,0.246,0,21.125,0,0.2645,0,0,0,58.24,0,33.759,0.788,19.5075,13.8025,0,0.3935,0.0825,0,181.4775,0,0,0,0,0.27,0,0
"45",17.48,0,142.8875,0,0,0,51.544,0,0,0,0.405,0.1435,0,1.232,0.378,27,18.075,0,0,122.45,0,0,0,0.572,15.2825,0.155,0,0,0.159,0,0,0.418,0,0,0,0,0,0,0,10.9885,0.246,0,180.8,0,0,0,0,0.5675,39.275,0,0.1195,0,0,0,0,0,0,0,22.048,0,0.255,16.395,0,0,0,0
"46",0,0,86.606,0,0,0,27.471,0,11.5,4.5,0.4235,7.175,0,1.7645,18.9,0,0.3615,0,0,92.2,0,10.25,0.426,28.6,0.2825,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5575,0.159,0,162.25,0,0,0,0,0.8575,46.8205,0,10.849,0,0,1.3185,0,0,0,0,0,0.31,45.7015,5.2425,0,0,0,0
"47",0,0,56.83,0,0,0,10.214,0,11.5,0.154,0.535,14.35,0,0.4475,0,0,0.3615,0,0,87.75,0,20.5,0,28.6,15.2825,0.2185,0,0,0,0,0,0,0,0,0,0,0,0,0.1625,55.45,0,0,61.125,0,0,0,0.3625,0.32,104.55,0,0.349,0.185,0.147,23.805,0,0,0,0,0.421,0.299,75.0545,5,0,3.375,0,0
"48",0,0,56.255,0,0,0,43.0515,0,11.5,0,0.405,29.025,0,0,0,0,0.206,0,0,45.959,0,0.205,23.207,0,0.141,0.2185,0,0.083,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,253.7975,0.0775,0.4265,0,0.7075,1.178,96.5,0,17.2545,0,0.47,38.185,0,0.265,0,0.45,1.615,8.049,261.59,0.1,0,0.0675,0,0
"49",0,0,0.2125,0,14.55,65.1,20.49,0,57.855,0,10.588,14.84,0,0,8.01,0.305,10.3,0.6435,0,30.421,0,10.25,117.262,0,0.835,0.2185,0,0,0.2985,0,0,0.1255,0.081,0,0,0,0.361,0,0.1925,65.815,0.246,0,0,0.0775,0,0,0,0,143.4,52.432,16.3565,0,23.87,0.707,0,0.0635,0,0.215,38.5095,16.1475,80.4635,0,0,0.0675,0,0
"50",0,0,0,0,5.935,45.17,43.777,0,79.455,0,0.113,15.1435,0,0,0.888,3,51.246,52.85,0,53.5,0,0,70.375,0,63.375,0.2185,0,0,0.1975,0,0,0,0.081,0,0,7.65,33.7825,0,8.3175,87.1,0.246,0,40,4.115,0,0,0,16.775,89.0075,46.302,16.5325,0,17.2,0.8325,0,0,0,0,0.3235,23.48,32.495,0,0,0,0,0
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",0.1475,0.0535,0,0,5.95,0.2,20.239,0,4.328,0,8.525,0.15,13.05,0.2445,37.0445,0,46.015,82.7,0,0.193,0,0,109.092,1.49,26.475,0,0,0,0,24.475,0,65.17,0,0,49.85,0.2715,0,0,0,0,0,0,0.68,0,0,0.1995,12.7,0,116.5845,60.269,0.8155,0,0,15.5755,0,22.355,4.299,0,31.7835,27.4185,0.295,7.5,0,96.45,0,0
