"Afrocarpus_falcatus","Alangium_chinense","Albizia_gummifera","Allophylus_kiwuensis","Antidesma_spp","Apodytes_dimidiata","Balthasaria_schliebenii","Beilschmiedia_rwandensis","Bersama_abyssinica","Bridelia_brideliifolia","Carapa_grandiflora","Casearia_barteri","Cassipourea_ruwenzorensis","Chrysophyllum_gorungosanum","Chrysophyllum_rwandense","Cleistanthus_polystachyus","Croton_macrostachyus","Croton_megalocarpus","Dichaetanthera_corymbosa","Dombeya_torrida","Drypetes_gerrardii","Drypetes_occidentalis","Ekebergia_capensis","Entandrophragma_excelsum","Ficalhoa_laurifolia","Ficus_oreodryadum","Ficus_sur","Garcinia_volkensii","Grewia_mildbraedii","Harungana_montana","Heinsenia_diervilleoides","Ilex_mitis","Ixora_burundensis","Kuloa_usambarensis","Macaranga_kilimandscharica","Maesa_lanceolata","Magnistipula_butayei","Maytenus_acuminata","Millettia_dura","Musanga_leo-errerae","Myrianthus_holstii","Neoboutonia_macrocalyx","Newtonia_buchananii","Noronhia_africana","Ochna_afzelii","Ocotea_kenyensis","Olea_capensis","Olinia_rochetiana","Parinari_excelsa","Pentadesma_reyndersii","Podocarpus_latifolius","Polyscias_fulva","Prunus_africana","Psychotria_capensis_var_puberula","Psydrax_subcordata","Rapanea_melanophloeos","Rytigynia_kigeziensis","Sapium_ellipticum","Strombosia_scheffleri","Symphonia_globulifera","Syzygium_guineense","Tabernaemontana_stapfiana","Vepris_stolzii","Warneckea_walikalensis","Xymalos_monospora","Zanthoxylum_gillettii"
"11",62.428,91.872,216.4515,0,0,120.9615,309.3625,0,304.711,0,30.0975000000001,95.65,0,674.5775,0,54.7395,102.253,117.395,0,411.0305,0,52.095,1184.954,17.1249999999999,154.028,78.5585,0,0,29.7395,0,0,67.006,1.002,0,88.1820000000001,6.41100000000003,87.471,27.8985,208.8785,476.359,1.02599999999999,10.2815,795.718499999999,0,47.3545,0,469.7305,117.6305,216.486,0,220.6035,204.467,294.1635,38.763,0,71.9425,4.46349999999999,470.2035,109.855,514.21,1218.149,1.19500000000001,0,36.3865,0,0
"12",126.616,40.9375,123.9705,0,66.075,0,302.5755,0.365500000000018,174.5985,36.319,95.7245000000001,0,20.0499999999999,0,21.4104999999999,0,73.7205,0,0,904.7875,0,0,0,405.043,337.636,81.642,0,0,12.6795,54.636,0,105.0545,0,51.4,406.9445,8.18150000000004,0,0,119.991,472.962,2.67199999999999,7.51000000000002,529.524999999999,45.7025,0.486500000000001,0,0,423.5355,128.602,379.132,78.39,0,0,1.49000000000001,0,69.291,30.157,108.164,642.3675,25.2289999999999,38.8589999999997,35.246,0,177.1085,0,0
"13",0,0,169.8245,0,11.456,189.154,268.124,0.514000000000018,193.7795,21.395,63.5410000000001,24.021,18.8999999999999,0,104.398,0,488.0635,664.708,0,359.2715,0,58.78,1442.464,215.1885,199.8945,68.505,0,0,6.57950000000001,6.88200000000001,0,59.3684999999999,20.9585,0,56.3680000000002,35.8365,0,0.209500000000001,136.3085,456.034,0,7.51000000000002,124.831499999999,5.705,0.556500000000001,0,102.2665,2.01849999999992,550.5385,9.10549999999994,160.537,179.044,169.704,19.5845,0,129.4675,32.684,398.939,137.9315,127.1605,540.3005,62.2195,0,36.9455,0,0
"14",0,49.535,97.7794999999997,0,49.83,207.1825,217.308,35.241,642.94,44.11,86.2515000000001,61.3555,330.4275,218.8445,102.2175,0,538.664,0,0,285.971,15.049,0,0,137.5215,181.061,78.749,0,0,21.4345,63.55,0,92.8845,0,90.19,412.0735,34.958,137.3925,0,291.5365,489.3175,4.28749999999999,0.220000000000021,512.887499999999,0,86.0825,0,26.2945000000001,2.11899999999992,0,205.9855,0,0,307.619,72.107,0,176.7625,7.95,364.1465,569.3545,287.743,101.063,44.1375,0,84.6835,0,0
"15",71.428,138.251,211.536,0,91.605,280.4745,342.838,33.5295,336.043,0,0,141.524,0,93.4499999999999,0,231.3015,697.7335,752.9325,0,733.5685,0,161.66,891.1195,84.5009999999998,552.7135,0,0,0,1.22500000000001,0,0,120.953,0,0,323.1275,0,78.486,0,97.2255,465.728,37.764,29.281,598.831499999999,32.6725,65.0395,0,0,45.3284999999999,0,182.16,0.615000000000021,124.005,82.0305000000004,50.85,0,131.3555,0,259.9855,525.342,354.3065,562.3015,24.2495,0,0,0,0
"16",32.171,134.484,386.8765,0,114.39,38.1415,518.1925,0,0,123,60.1985000000001,54.2485,0,23.0594999999999,96.5244999999999,121.6055,782.541,0,0,696.1725,0,35.5315,1014.537,387.4355,714.8885,98.762,0,0,31.431,103.187,0,168.8495,0.493000000000003,25.5,0,233.182,30.281,2.3575,420.075,465.877,19.549,5.61000000000002,1497.507,11.47,65.0395,0,38.4100000000001,281.211,1143.8425,85.8,0,131.9005,554.1425,33.07,0,34.141,36.478,362.9615,57.899,89.9385,542.5165,24.2745,0,489.701,0,0
"17",0,0,0,0,92.4849999999999,0,546.4765,0,760.8845,0,18.0780000000001,24.8455,0,45.7964999999999,143.36,67.5,0.564000000000285,0,0,654.284,0,0,373.6925,220.6025,262.5085,0,0,0,1.34500000000001,0,0,229.597,0.343000000000003,0,155.968,0,0,2.5625,99.741,395.9205,0,0.522500000000021,0,36.7325,0,0,8.32000000000005,126.2055,0,218.232,105.48,480.808,160.607,51.0515,0,271.025,64.234,0,298.1745,63.553,292.8235,21.452,0,0,0,0
"18",17.94,123.8095,265.44,0,97.406,193.648,750.6845,0.564500000000019,0,21.34,81.6060000000001,44.5455,327.631,42.1009999999999,2.0494999999999,51.0325,982.6535,254.984,0,394.6285,0,125.2545,354.1915,237.9695,303.5175,43.9185,0,0,69.1415,81.3605,0,371.501,3.447,12.25,226.865,66.2815,325.781,0,70.387,347.7245,105.065,0,1889.2225,0.272500000000001,221.53,0,8.16000000000005,56.2285,221.4945,20.592,48.162,676.691,343.76,154.8285,0,57.466,38.036,261.6115,374.168,142.4775,551.7765,12.075,0,159.069,0,0
"19",0,0,301.447,0,0,209.365,895.565,0.345500000000019,0,79.074,52.5760000000001,21.969,0,185.1355,0,91.8025,317.344,328.968,0,541.01,0,0,622.5525,632.068,160.2535,0,0,0,37.718,24.26,0,179.999,0,0,69.6065000000002,11.208,0,26.345,190.393,373.2915,0,16.3575,0,21.07,209.2945,0,1041.9565,1407.478,1965.8985,278.5375,115.281,0,0,137.674,0,90.4025,37.602,129.2845,248.938,235.3285,225.355,12.391,0,0,0,0
"20",2.26099999999996,296.6845,292.0195,0,10.856,73.0925000000001,1268.116,0,197.5155,0,390.0875,264.1785,401.961,0,30.7334999999999,98.099,0,0,0,562.0935,7.45,104.445,0,428.545,635.3175,0,117.984,0,50.667,583.98,0,215.5065,50.836,0,660.311,0,0,20.35,505.732,588.737,92.131,45.655,3118.48,0,38.762,0,0,0,1.31700000000071,0,228.5125,0,92.1665000000004,5.50949999999997,0,429.962,0,414.496,442.8305,8.71150000000009,265.141,449.4875,0,25.8325000000001,0,0
"21",0,0,0,0,66.7299999999999,552.4105,1371.023,36.0055,858.476,14.8,420.99,0,170.9325,1703.745,42.1794999999999,0,1329.2885,393.73,0,667.35,0,0,1456.507,0,776.3675,87.6185,65.494,0,0,827.1655,0,412.618,0,0.152999999999982,0,234.5335,84.9654999999999,0,0,652.264,92.4605,105.57,0,11.6625,80.2,0,0,33.2799999999999,0,9.32850000000003,0,1057.6165,15.8780000000004,473.749,0,241.1055,42.794,90.0269999999998,610.7165,8.80300000000009,283.6175,0,0,0,0,0
"22",124.695,411.631,575.646,0,112.269,358.907,1191.046,46.191,0,37.95,123.488,46.1580000000001,236.39,0,106.877,21.238,887.2,361.105,0,465.2,0,53.475,709.1005,881.623999999999,785.195,0,131.8205,0,129.1795,0,0,544.384,78.8505,0,773.222,343.697,196.847,17.951,1087.016,660.348,76.172,15.8025,2470.51,18.225,230.365,180.7905,20.455,0,0,276.338,491.372,0,0,559.8905,0,160.893,55.188,882.85,623.818,421.5715,513.153,0,0,624.418,0,0
"23",0.769999999999944,280.5415,137.4185,0,0,247.918,1223.388,18.2535,813.1105,97.976,75.2945000000001,169.312,106.9695,469.369,316.1485,20.736,339.3845,512.002,0,908.29,59.6,17.595,761.204,300.963999999999,699.5185,131.3185,130.3415,0,0,481.365,0,176.0535,45.134,0,713.8725,99.7135,192.06,31.942,409.718,806.649,19.863,24.208,1961.675,18.8975,70.883,0,850.344,1168.349,2940.3,261.063,438.146,726.133,66.1110000000004,396.233,0,350.7775,198.316,505.3735,336.1235,0,407.9265,150.628,0,377.911,0,0
